,genre
0,http://fr.dbpedia.org/resource/Film_documentaire
1,"thriller, drame"
2,http://fr.dbpedia.org/resource/Drame_(cinéma)
3,http://fr.dbpedia.org/resource/Film_d'horreur
4,http://fr.dbpedia.org/resource/Thriller_(genre)
5,parodie
6,dessin animé
7,http://fr.dbpedia.org/resource/Comédie
8,Comédie
9,http://fr.dbpedia.org/resource/Comédie_dramatique
10,http://fr.dbpedia.org/resource/Science-fiction
11,http://fr.dbpedia.org/resource/Film_musical
12,comédie érotique
13,Série documentaire TV
14,Film dramatique
15,http://fr.dbpedia.org/resource/Film_policier
16,"Thriller, drame"
17,Thriller psychologique
18,http://fr.dbpedia.org/resource/Film_d'aventures
19,Drame de Guerre
20,http://fr.dbpedia.org/resource/Western
21,http://fr.dbpedia.org/resource/Film_historique
22,http://fr.dbpedia.org/resource/Film_d'action
23,http://fr.dbpedia.org/resource/Mélodrame_(cinéma)
24,Aventure
25,Science-Fiction
26,http://fr.dbpedia.org/resource/Film_noir
27,Action
28,Art martiaux
29,http://fr.dbpedia.org/resource/Film_fantastique
30,Drame criminel
31,http://fr.dbpedia.org/resource/Cinéma_fantastique
32,http://fr.dbpedia.org/resource/Slasher
33,http://fr.dbpedia.org/resource/Comédie_policière
34,http://fr.dbpedia.org/resource/Musique_de_film
35,Bande originales
36,http://fr.dbpedia.org/resource/Comédie_(film)
37,http://fr.dbpedia.org/resource/Fantastique
38,"Horreur, thriller"
39,http://fr.dbpedia.org/resource/Film_d'aventure
40,http://fr.dbpedia.org/resource/Chanbara
41,Érotique
42,Drame sentimental
43,"Biographie, drame"
44,comédie
45,"Drame, policier"
46,Drame musical
47,http://fr.dbpedia.org/resource/Film_biographique
48,"Thriller, Horreur, Giallo, Serial killer"
49,Drame
50,http://fr.dbpedia.org/resource/Film_de_guerre
51,Film d'aventures
52,Documentaire
53,Drame romantique
54,Comédie dramatique
55,http://fr.dbpedia.org/resource/Conte
56,Arts martiaux
57,documentaire
58,http://fr.dbpedia.org/resource/Film_de_cape_et_d'épée
59,Aventures historiques
60,http://fr.dbpedia.org/resource/Film_d'amour
61,Comédiedramatique
62,Comédie d'espionnage
63,Film biographique
64,Film musical
65,"Drame, romance"
66,http://fr.dbpedia.org/resource/Documentaire
67,Comédie fantastique
68,http://fr.dbpedia.org/resource/RnB_contemporain
69,http://fr.dbpedia.org/resource/Hip-hop
70,http://fr.dbpedia.org/resource/Rock
71,http://fr.dbpedia.org/resource/Comique
72,Étude de mœurs
73,Satire sociale
74,http://fr.dbpedia.org/resource/Cinéma_expérimental
75,http://fr.dbpedia.org/resource/Allégorique
76,http://fr.dbpedia.org/resource/Culture_underground
77,"Drame, biographie historique"
78,Comédie policière
79,http://fr.dbpedia.org/resource/Drame_(film)
80,http://fr.dbpedia.org/resource/Arts_martiaux_chinois
81,http://fr.dbpedia.org/resource/Comédie_romantique
82,"Drame, guerre"
83,http://fr.dbpedia.org/resource/Romantisme
84,http://fr.dbpedia.org/resource/Football_et_cinéma
85,http://fr.dbpedia.org/resource/Film_de_science-fiction
86,http://fr.dbpedia.org/resource/Film_romantique
87,film noir
88,Drame historique
89,http://fr.dbpedia.org/resource/Aventures
90,http://fr.dbpedia.org/resource/Football_américain
91,p136
92,Policier
93,http://fr.dbpedia.org/resource/Animation_3D
94,http://fr.dbpedia.org/resource/Animation
95,animation
96,Romance
97,"Comédie dramatique, romance"
98,http://fr.dbpedia.org/resource/Burlesque
99,http://fr.dbpedia.org/resource/Film_d'animation
100,http://fr.dbpedia.org/resource/Thriller_(cinéma)
101,http://fr.dbpedia.org/resource/Film_de_gangsters
102,http://fr.dbpedia.org/resource/Image_animée
103,Fantastique
104,http://fr.dbpedia.org/resource/Art_martial
105,http://fr.dbpedia.org/resource/Science-fiction_post-apocalyptique
106,http://fr.dbpedia.org/resource/Road_movie
107,http://fr.dbpedia.org/resource/Buddy_movie
108,http://fr.dbpedia.org/resource/Fantasy
109,http://fr.dbpedia.org/resource/Aventure
110,http://fr.dbpedia.org/resource/Frisson
111,Comédie familiale
112,Film d'animation fantastique
113,fiction
114,Drame social
115,http://fr.dbpedia.org/resource/Court_métrage
116,danse contemporaine filmée
117,http://fr.dbpedia.org/resource/Rap
118,drame
119,http://fr.dbpedia.org/resource/Thriller_Psychologique
120,Biographie
121,drame familial
122,Thriller
123,"Fantastique, expérimental"
124,http://fr.dbpedia.org/resource/Funk
125,http://fr.dbpedia.org/resource/Jazz
126,http://fr.dbpedia.org/resource/Musique_soul
127,http://fr.dbpedia.org/resource/Rhythm_and_blues
128,http://fr.dbpedia.org/resource/Pop_(musique)
129,http://fr.dbpedia.org/resource/Film_dramatique
130,http://fr.dbpedia.org/resource/Film_post-apocalyptique
131,http://fr.dbpedia.org/resource/Fiction
132,http://fr.dbpedia.org/resource/Thriller_érotique
133,Comédie poétique
134,http://fr.dbpedia.org/resource/Drame_psychologique
135,"Aventure, Drame"
136,http://fr.dbpedia.org/resource/Musique_électronique
137,Drame politique
138,film biblique historique
139,http://fr.dbpedia.org/resource/Chanson_de_geste
140,"Comédie, Musique"
141,Actualité reconstituée
142,Biographie romancée
143,comédie dramatique
144,Animalier
145,http://fr.dbpedia.org/resource/Péplum
146,"Film policier, Crime, Mystère"
147,http://fr.dbpedia.org/resource/Policier
148,http://fr.dbpedia.org/resource/Musique_latine
149,http://fr.dbpedia.org/resource/Techno
150,http://fr.dbpedia.org/resource/Crunkcore
151,Drame antique
152,drame romantique
153,http://fr.dbpedia.org/resource/Histoire
154,Thriller érotique
155,Film Pornographique / Comédie
156,"Comédie noire, drame"
157,http://fr.dbpedia.org/resource/Courts_métrages
158,http://fr.dbpedia.org/resource/Dessins_animés
159,http://fr.dbpedia.org/resource/Terence_Blanchard
160,http://fr.dbpedia.org/resource/Comédie_musicale
161,"Drame, Romance"
162,"fantastique, horreur"
163,science fiction
164,http://fr.dbpedia.org/resource/Film_de_gangster
165,"comédie, thriller, horreur"
166,Épopée
167,science-fiction
168,http://fr.dbpedia.org/resource/Film_d'espionnage
169,Film d'aventure préhistorique
170,Aventures préhistoriques
171,http://fr.dbpedia.org/resource/Dessin_animé
172,http://fr.dbpedia.org/resource/Film_de_super-héros
173,http://fr.dbpedia.org/resource/Biographie
174,http://fr.dbpedia.org/resource/Pantomime
175,Drame de guerre
176,"Conte, Comédie"
177,Féerie
178,"Comédie, horreur, thriller"
179,"Action,"
180,"Policier, thriller"
181,http://fr.dbpedia.org/resource/Film_pornographique
182,Drame biographique
183,humoristique
184,http://fr.dbpedia.org/resource/Musique
185,drame social
186,http://fr.dbpedia.org/resource/Pop-rock
187,http://fr.dbpedia.org/resource/Phonoscène
188,http://fr.dbpedia.org/resource/Fantasy_au_cinéma
189,"action, Thriller"
190,Film historique
191,Aventure maritime
192,Drame sportif
193,http://fr.dbpedia.org/resource/Thriller_(film)
194,"Action, comédie"
195,Aventures
196,Film dramatique romantique
197,Fantasy
198,Film d'action
199,http://fr.dbpedia.org/resource/Film_catastrophe
200,poétique
201,Animation
202,"Aventure, Fantasy"
203,http://fr.dbpedia.org/resource/Liste_de_films_historiques
204,Film d'aventure orientale
205,"horreur, science-fiction"
206,Comédie noire
207,Science-fiction
208,http://fr.dbpedia.org/resource/Nu_metal
209,http://fr.dbpedia.org/resource/Rock_alternatif
210,http://fr.dbpedia.org/resource/Science_fiction
211,Espionnage
212,"horreur, thriller, fantastique"
213,http://fr.dbpedia.org/resource/Film_politique
214,Épouvante
215,Fiction
216,Aventure et Action
217,adolescent
218,?
219,http://fr.dbpedia.org/resource/Environnement
220,Film criminel
221,Horreur
222,"animation, drame"
223,http://fr.dbpedia.org/resource/Jeunesse
224,"""Comédie"""
225,http://fr.dbpedia.org/resource/Jidaigeki
226,http://fr.dbpedia.org/resource/Psychologique
227,"aventure, humour"
228,http://fr.dbpedia.org/resource/Drame_Psychologique_(cinéma)
229,Comédie satirique
230,http://fr.dbpedia.org/resource/Mouvement_gothique
231,Historique
232,http://fr.dbpedia.org/resource/Rock_'n'_roll
233,Space opera
234,Comédie romantique
235,http://fr.dbpedia.org/resource/Suspense
236,1.85
237,http://fr.dbpedia.org/resource/Dance
238,http://fr.dbpedia.org/resource/Garage_(musique)
